proper,ra,dec,mag,con
Sol,0,0,-26.7,
Sirius,6.752481,-16.716116,-1.44,CMa
Canopus,6.399195,-52.69566,-0.62,Car
Arcturus,14.26103,19.18241,-0.05,Boo
Rigil Kentaurus,14.660765,-60.833976,-0.01,Cen
Vega,18.61564,38.783692,0.03,Lyr
Capella,5.27815,45.997991,0.08,Aur
Rigel,5.242298,-8.20164,0.18,Ori
Procyon,7.655033,5.224993,0.4,CMi
Achernar,1.628556,-57.236757,0.45,Eri
Betelgeuse,5.919529,7.407063,0.45,Ori
Hadar,14.063729,-60.373039,0.61,Cen
Altair,19.846388,8.868322,0.76,Aql
Acrux,12.443311,-63.099092,0.77,Cru
Aldebaran,4.598677,16.509301,0.87,Tau
,5.277926,46.000842,0.96,Aur
Spica,13.419883,-11.161322,0.98,Vir
Antares,16.490128,-26.432002,1.06,Sco
Pollux,7.755277,28.026199,1.16,Gem
Fomalhaut,22.960838,-29.622236,1.17,PsA
Becrux,12.795359,-59.688764,1.25,Cru
Deneb,20.690532,45.280338,1.25,Cyg
,14.660346,-60.8383,1.35,Cen
Regulus,10.139532,11.967207,1.36,Leo
Adhara,6.977097,-28.972084,1.5,CMa
Castor,7.576634,31.888276,1.58,Gem
Gacrux,12.519429,-57.113212,1.59,Cru
Shaula,17.560145,-37.103821,1.62,Sco
Bellatrix,5.418851,6.349702,1.64,Ori
Alnath,5.438198,28.60745,1.65,Tau
Miaplacidus,9.220041,-69.717208,1.67,Car
Alnilam,5.603559,-1.20192,1.69,Ori
Alnair,22.137209,-46.960975,1.73,Gru
Alnitak,5.679313,-1.942572,1.74,Ori
,8.158876,-47.336588,1.75,Vel
Alioth,12.900472,55.959821,1.76,UMa
Mirphak,3.405378,49.86118,1.79,Per
Kaus Australis,18.402868,-34.384616,1.79,Sgr
Dubhe,11.062155,61.751033,1.81,UMa
Wezen,7.139857,-26.3932,1.83,CMa
Alkaid,13.792354,49.313265,1.85,UMa
Avior,8.375236,-59.509483,1.86,Car
Sargas,17.62198,-42.997824,1.86,Sco
Menkalinan,5.992149,44.947433,1.9,Aur
Atria,16.811077,-69.027715,1.91,TrA
Alhena,6.628528,16.399252,1.93,Gem
,8.745059,-54.708821,1.93,Vel
Peacock,20.427459,-56.73509,1.94,Pav
Polaris,2.52975,89.264109,1.97,UMi
Mirzam,6.378329,-17.955918,1.98,CMa
Alphard,9.45979,-8.658603,1.99,Hya
Hamal,2.119555,23.462423,2.01,Ari
Algieba,10.332873,19.841489,2.01,Leo
Diphda,0.72649,-17.986605,2.04,Cet
Nunki,18.92109,-26.296722,2.05,Sgr
Menkent,14.111395,-36.369954,2.06,Cen
Alpheratz,0.139791,29.090432,2.07,And
Mirach,1.162194,35.620558,2.07,And
Saiph,5.795941,-9.669605,2.07,Ori
Kochab,14.845105,74.155505,2.07,UMi
,22.711115,-46.884577,2.07,Gru
Rasalhague,17.582241,12.560035,2.08,Oph
Algol,3.136148,40.955648,2.09,Per
Almaak,2.064984,42.329725,2.1,And
Denebola,11.817663,14.57206,2.14,Leo
Cih,0.945143,60.71674,2.15,Cas
,12.691971,-48.959888,2.2,Cen
Naos,8.059737,-40.003148,2.21,Pup
Tureis,9.284838,-59.275229,2.21,Car
Alphekka,15.578128,26.714693,2.22,CrB
,9.133268,-43.432589,2.23,Vel
Mizar,13.398747,54.925362,2.23,UMa
Sadr,20.370473,40.256679,2.23,Cyg
Shedir,0.675116,56.537331,2.24,Cas
Etamin,17.943437,51.488895,2.24,Dra
Mintaka,5.533445,-0.299092,2.25,Ori
Caph,0.152887,59.14978,2.28,Cas
,13.664796,-53.466394,2.29,Cen
Dschubba,16.005557,-22.62171,2.29,Sco
,16.83608,-34.293232,2.29,Sco
,14.698823,-47.3882,2.3,Lup
,14.591786,-42.157824,2.33,Cen
Merak,11.030677,56.382427,2.34,UMa
Izar,14.749784,27.074222,2.35,Boo
Enif,21.736433,9.875011,2.38,Peg
,17.708132,-39.029983,2.39,Sco
Ankaa,0.438056,-42.305981,2.4,Phe
Phad,11.897168,53.69476,2.41,UMa
,17.172968,-15.72491,2.43,Oph
Scheat,23.062901,28.082789,2.44,Peg
Aludra,7.401584,-29.303104,2.45,CMa
Alderamin,21.30963,62.585573,2.45,Cep
,9.368562,-55.010668,2.47,Vel
Gienah,20.770178,33.970256,2.48,Cyg
Markab,23.079348,15.205264,2.49,Peg
Menkar,3.037992,4.089734,2.54,Cet
,16.619316,-10.56709,2.54,Oph
,13.925667,-47.288375,2.55,Cen
Zosma,11.235138,20.523717,2.56,Leo
Graffias,16.09062,-19.805453,2.56,Sco
Arneb,5.545504,-17.822289,2.58,Lep
,12.13931,-50.722425,2.58,Cen
Gienah Ghurab,12.263437,-17.541929,2.58,Crv
,19.043532,-29.880105,2.6,Sgr
Zubeneschemali,15.283449,-9.382917,2.61,Lib
Unukalhai,15.737798,6.425627,2.63,Ser
Sheratan,1.910668,20.808035,2.64,Ari
Phakt,5.660817,-34.074108,2.65,Col
,5.995351,37.212585,2.65,Aur
Kraz,12.573121,-23.396759,2.65,Crv
Ruchbah,1.430216,60.235283,2.66,Cas
Mufrid,13.911411,18.397717,2.68,Boo
,14.975537,-43.13396,2.68,Lup
Hassaleh,4.949894,33.16609,2.69,Aur
,10.779488,-49.420255,2.69,Vel
,12.619739,-69.135564,2.69,Mus
,17.512732,-37.295811,2.7,Sco
,7.285711,-37.09747,2.71,Pup
Kaus Meridionalis,18.3499,-29.828103,2.72,Sgr
Tarazed,19.770994,10.613261,2.72,Aql
,16.239094,-3.694323,2.73,Oph
,16.39986,61.514213,2.73,Dra
,10.715949,-64.39445,2.74,Car
Porrima,12.694345,-1.449375,2.74,Vir
Hatsya,5.590551,-5.909901,2.75,Ori
,13.343296,-36.712295,2.75,Cen
Zubenelgenubi,14.847977,-16.041778,2.75,Lib
Cebalrai,17.724543,4.567303,2.76,Oph
Cursa,5.130829,-5.086446,2.78,Eri
Kornephoros,16.503668,21.489613,2.78,Her
Rasalgethi,17.244127,14.390333,2.78,Her
,12.252427,-58.748928,2.79,Cru
Rastaban,17.507213,52.301387,2.79,Dra
,15.585681,-41.166757,2.8,Lup
Nihal,5.470756,-20.759441,2.81,Lep
,16.688113,31.602726,2.81,Her
,0.427916,-77.254247,2.82,Hyi
,16.598043,-28.216016,2.82,Sco
Kaus Borealis,18.466179,-25.4217,2.82,Sgr
Algenib,0.220598,15.183596,2.83,Peg
,8.125737,-24.304324,2.83,Pup
,15.919083,-63.430727,2.83,TrA
,3.9022,31.883635,2.84,Per
,17.421665,-55.529884,2.84,Ara
,17.530695,-49.876145,2.84,Ara
Alcyone,3.79141,24.105137,2.85,Tau
Vindemiatrix,13.036278,10.95915,2.85,Vir
,21.784011,-16.127286,2.85,Cap
,7.576827,31.89052,2.85,Gem
,1.979451,-61.569859,2.86,Hyi
,19.749574,45.13081,2.86,Cyg
,6.382673,22.513586,2.87,Gem
